PC1,PC2,anomaly
0.800628555755818,-0.559971585187425,1
-0.43337895592310505,-0.45721189768576115,1
0.08069962000165229,-0.8172753948522036,1
0.39200780488028697,-0.9800075116547711,1
-0.5896571653515515,-0.9466033311184725,1
-1.5671106681914297,-0.8298584785327475,1
-2.780426849748813,-0.8883804519035648,1
-2.928289925102384,-0.9207219537154493,1
-3.557293617577568,-0.8467274817658308,1
-3.5221273278625342,-1.5350417809055972,1
-4.2023185785717665,-0.8482602683347471,1
-4.690139867103342,-0.6559404777365287,1
-4.167001411692833,-0.7977611165547573,1
-2.726235682349468,-1.0359049543918601,1
-0.4025206119883886,-1.1137881318077212,1
-0.219616966006612,-0.8822388010257385,1
-1.330362230632285,-0.9428315480160346,1
-2.03687538166254,-0.9769347077167674,1
-1.774180183967639,-1.0483516811983515,1
-0.7928259920096792,-1.1913030814095906,1
0.8364286249265335,-1.2262102435353912,1
-0.005840571989195386,-1.2117732050404935,1
-0.07928780006125699,-1.16783789447996,1
1.0038908845269285,-1.1508324212254204,1
3.687065465191534,-0.8975281444487044,1
5.9873871367977465,-1.0772916468436107,1
4.997794815230534,-1.116600463836446,1
1.5897332201924446,-1.2893282424942571,1
-2.1263695131921634,-1.1402927283139273,1
-3.4544881245251498,-0.9187988386535918,1
-2.0114587411735374,-1.3782155573170156,1
-1.823341135255722,-1.5356292700299237,1
-2.849779933446443,-1.4656359434481454,1
-3.6764367536536158,-1.960247916998222,1
-4.784508760391945,-1.3365322308225807,1
-5.036103594095921,-1.300209717222646,1
-4.09590535856265,-1.3840415141586138,1
-2.3186297619034315,-1.5878942911656644,1
2.7813175587073977,-1.5352594099443058,1
2.695075720003722,-0.7049430359843908,1
1.1680463377868544,-0.7678982192046591,1
0.6719423259494731,-0.964021470417607,1
-0.297149262887176,-0.6025873834663751,1
0.13381549315648605,-0.5000706248073475,1
0.6849576662057707,-0.43305418036980725,1
1.2173464691066698,-0.45088623385463755,1
0.8198740187480702,-0.4727964620969183,1
0.3375935455730883,-0.35739328480410226,1
2.9304683303878596,-0.5236128138137046,1
2.7734289798775476,-0.6094525779379841,1
7.241885766236717,-1.2160522847321906,-1
3.731134540745828,-0.8689223784715571,1
2.322685322439595,-1.1003121013506802,1
4.38677388978897,-0.9512782079452511,1
0.11206227801757827,-1.3322381895165116,1
-0.9494638081572527,-1.2350683282888055,1
-1.7245620094082887,-1.1995848516990797,1
-1.3064846030958654,-1.710284941279755,1
-1.4289786283994248,-1.373714127596221,1
-3.2150135641774575,-1.1680889329984334,1
-2.923825046108311,-1.2648505679895992,1
-1.8721880305950234,-1.4168524913821978,1
0.6185519369651795,-1.4037187746076003,1
1.9478941647821497,-1.2078462304265492,1
1.602310557149341,-1.0351968664333038,1
2.8618379395849223,-0.9112147372931673,1
2.0164302335776627,-0.6887571880490522,1
0.6617402281630633,-0.23856213840446008,1
-0.7124820591604284,-0.21290109616255537,1
-0.3207586405317839,-0.23840956572009217,1
0.30334524319076106,-0.40028459595279803,1
0.43885498875936674,-0.4188672432276866,1
2.251857496506949,-0.5634987026007641,1
3.697428361698898,-0.6599619481704614,1
3.743387312446578,-0.6564403321567311,1
3.8119419641234784,-0.7690263265814756,1
2.162278188185415,-0.6888027837639762,1
1.4056399812682108,-0.6624820572932674,1
1.2082193659340121,-0.934393692229123,1
1.1464681065683202,-0.722171168461234,1
0.07829052917702867,-0.8342328194437573,1
0.42036874803471497,-1.005509979687955,1
-1.4994727805029795,-0.6946675491822242,1
-2.460514812679535,-0.6874197609850433,1
-2.920041854187498,-0.6771984073533209,1
-2.943309976625844,-0.8410965391621414,1
-1.8516325449409554,-0.7924695333182374,1
-0.9524679500756468,-0.5823872885900059,1
0.0762324914300575,-0.4275246278350645,1
1.098454363040138,-0.2846106348060918,1
0.9359341080293838,-0.09913635730411238,1
-0.5450744397159085,0.07604386972993123,1
-0.8740212751638161,0.11736569287604244,1
-0.5569503096795291,0.12911945094747665,1
1.0849181348917938,0.015645513421321002,1
